,#,Population  (2024),Yearly  Change,Net  Change,Density  (P/Km²),Land Area  (Km²),Migrants  (net),Fert.  Rate,Med.  Age,Urban  Pop %,World  Share,Land Area (Km²),Density (P/Km²)
India,1,1450935791,0.89 %,12866195,488,2973190,-630830,2.0,28,37 %,17.78 %,,
China,2,1419321278,-0.23 %,-3263655,151,9388211,-318992,1.0,40,66 %,17.39 %,,
US,3,345426571,0.57 %,1949236,38,9147420,1286132,1.6,38,82 %,4.23 %,,
Indonesia,4,283487931,0.82 %,2297864,156,1811570,-38469,2.1,30,59 %,3.47 %,,
Pakistan,5,251269164,1.52 %,3764669,326,770880,-1401173,3.5,20,34 %,3.08 %,,
Nigeria,6,232679478,2.10 %,4796533,255,910770,-35202,4.4,18,54 %,2.85 %,,
Brazil,7,211998573,0.41 %,857844,25,8358140,-225510,1.6,34,91 %,2.60 %,,
Bangladesh,8,173562364,1.22 %,2095374,1333,130170,-473362,2.1,26,42 %,2.13 %,,
Russia,9,144820423,-0.43 %,-620077,9,16376870,-178042,1.5,40,75 %,1.77 %,,
Ethiopia,10,132059767,2.62 %,3368075,132,1000000,30069,3.9,19,22 %,1.62 %,,
Mexico,11,130861007,0.86 %,1121248,67,1943950,-104581,1.9,29,87 %,1.60 %,,
Japan,12,123753041,-0.50 %,-617906,339,364555,153357,1.2,49,93 %,1.52 %,,
Egypt,13,116538258,1.75 %,2002486,117,995450,123884,2.7,24,41 %,1.43 %,,
Philippines,14,115843670,0.83 %,952471,389,298170,-160373,1.9,26,49 %,1.42 %,,
Congo (Kinshasa),15,109276265,3.30 %,3486534,48,2267050,-26968,6.0,16,44 %,1.34 %,,
Vietnam,16,100987686,0.63 %,635494,326,310070,-59645,1.9,33,41 %,1.24 %,,
Iran,17,91567738,1.06 %,959031,56,1628550,190156,1.7,33,73 %,1.12 %,,
Turkey,18,87473805,0.23 %,203304,114,769630,-275952,1.6,33,76 %,1.07 %,,
Germany,19,84552242,0.00 %,4011,243,348560,36954,1.4,45,76 %,1.04 %,,
Thailand,20,71668011,-0.05 %,-34424,140,510890,23321,1.2,40,53 %,0.88 %,,
United Kingdom,21,69138192,0.66 %,455230,286,241930,417114,1.6,40,84 %,0.85 %,,
Tanzania,22,68560157,2.92 %,1942551,77,885800,-29865,4.5,17,39 %,0.84 %,,
France,23,66548530,0.17 %,109708,122,547557,90527,1.6,42,82 %,0.82 %,,
South Africa,24,64007187,1.26 %,794803,53,1213090,166972,2.2,28,66 %,0.78 %,,
Italy,25,59342867,-0.26 %,-156586,202,294140,95246,1.2,48,72 %,0.73 %,,
Kenya,26,56432944,1.98 %,1093941,99,569140,-19781,3.2,20,31 %,0.69 %,,
Myanmar,27,54500091,0.68 %,366293,83,653290,-37979,2.1,30,34 %,0.67 %,,
Colombia,28,52886363,1.08 %,565211,48,1109500,141643,1.6,32,81 %,0.65 %,,
"Korea, South",29,51717590,-0.06 %,-31149,532,97230,75963,0.7,45,82 %,0.63 %,,
