Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"30/09/2022 23:00:00",7.18,12.13,9.25,6.53,239.29,239.80,237.92,0.48,29100.33,413145.88
"30/09/2022 23:30:00",5.95,20.12,8.00,7.78,238.02,238.64,236.47,0.57,29100.56,413149.69
"01/10/2022 00:00:00",5.63,7.10,10.72,5.38,237.84,238.60,236.35,0.39,29100.79,413153.47
"01/10/2022 00:30:00",6.10,7.94,9.44,5.46,239.42,239.72,237.69,0.40,29101.02,413157.19
"01/10/2022 01:00:00",13.29,20.87,8.97,13.33,240.17,240.58,238.40,0.86,29101.25,413160.88
"01/10/2022 01:30:00",6.19,10.01,14.56,5.64,241.07,241.68,239.67,0.36,29101.46,413164.03
"01/10/2022 02:00:00",5.92,6.58,8.69,4.88,241.35,241.96,239.94,0.32,29101.65,413167.25
"01/10/2022 02:30:00",7.19,15.28,12.13,7.62,239.79,240.22,238.35,0.49,29101.85,413170.38
"01/10/2022 03:00:00",6.43,5.11,8.64,4.72,240.95,241.64,239.88,0.31,29102.04,413173.59
"01/10/2022 03:30:00",6.25,13.98,10.70,7.22,241.22,241.62,239.78,0.47,29102.29,413176.75
"01/10/2022 04:00:00",5.86,7.62,10.67,5.60,239.96,240.54,238.67,0.36,29102.48,413179.94
"01/10/2022 04:30:00",7.61,17.86,8.85,10.79,239.65,240.04,238.09,0.70,29102.69,413183.13
"01/10/2022 05:00:00",6.79,10.66,8.60,6.51,239.42,239.92,238.22,0.48,29102.92,413186.41
"01/10/2022 05:30:00",6.50,7.40,11.11,5.56,238.72,239.49,237.36,0.41,29103.15,413190.09
"01/10/2022 06:00:00",5.57,6.19,8.37,4.34,238.99,239.75,237.75,0.32,29103.38,413193.78
"01/10/2022 06:30:00",6.23,7.43,8.79,4.75,238.96,239.52,237.44,0.35,29103.59,413197.34
"01/10/2022 07:00:00",6.66,13.26,5.93,5.78,237.61,238.39,235.92,0.42,29103.79,413200.38
"01/10/2022 07:30:00",5.81,4.71,4.66,3.30,237.96,238.33,236.59,0.24,29103.96,413203.22
"01/10/2022 08:00:00",5.50,6.12,4.46,3.47,238.93,240.06,238.17,0.39,29104.11,413206.13
"01/10/2022 08:30:00",3.73,5.95,5.38,3.22,236.12,237.05,235.29,0.36,29104.30,413211.06
"01/10/2022 09:00:00",4.33,2.81,3.56,1.96,237.50,238.66,236.91,0.22,29104.50,413216.19
"01/10/2022 09:30:00",4.79,19.00,3.41,6.15,240.82,241.21,239.92,0.69,29104.70,413221.53
"01/10/2022 10:00:00",4.17,6.85,6.74,3.64,237.83,238.62,237.30,0.41,29104.89,413226.41
"01/10/2022 10:30:00",5.47,6.22,3.37,2.52,235.92,237.03,236.00,0.28,29105.09,413231.59
"01/10/2022 11:00:00",4.10,9.26,4.80,3.64,238.38,239.51,237.85,0.41,29105.24,413237.16
"01/10/2022 11:30:00",4.34,14.86,4.19,5.02,239.83,240.93,239.73,0.56,29105.45,413243.72
"01/10/2022 12:00:00",4.36,3.11,3.60,1.78,240.30,241.52,239.88,0.20,29105.63,413250.31
"01/10/2022 12:30:00",15.14,10.06,4.46,7.07,239.87,240.58,238.99,0.79,29105.83,413256.63
"01/10/2022 13:00:00",5.02,5.19,4.95,2.98,239.46,240.74,239.01,0.22,29106.02,413262.91
