STN---,WBAN,YEARMODA,TEMP,1?,DEWP,2?,SLP,3?,STP,4?,VISIB,5?,WDSP,6?,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,
085360,99999,20140101,57.7,24,55.6,24,9999.9,0,9999.9,0,5.7,24,11.9,24,18.1,26.0,59.0,51.8,99.99,999.9,010000,
085360,99999,20140102,59.5,24,57.5,24,9999.9,0,9999.9,0,5.0,24,14.2,24,18.1,27.0,60.8,59.0,99.99,999.9,010000,
085360,99999,20140103,57.6,24,55.6,24,9999.9,0,9999.9,0,5.3,24,8.2,24,15.0,999.9,59.0,53.6,99.99,999.9,010000,
085360,99999,20140104,54.6,24,49.8,24,9999.9,0,9999.9,0,6.0,24,13.7,24,25.1,38.1,59.0,44.6,99.99,999.9,010000,
085360,99999,20140105,56.4,24,53.2,24,9999.9,0,9999.9,0,6.1,24,10.5,24,19.0,999.9,60.8,46.4,0.00,999.9,000000,
085360,99999,20140106,58.7,24,56.4,24,9999.9,0,9999.9,0,4.8,24,15.3,24,22.0,26.0,60.8,57.2,99.99,999.9,010000,
085360,99999,20140107,58.0,24,56.9,24,9999.9,0,9999.9,0,3.8,24,13.0,24,21.0,31.1,59.0,57.2,99.99,999.9,010000,
085360,99999,20140108,56.0,24,52.5,24,9999.9,0,9999.9,0,6.2,19,6.8,24,12.0,17.1,60.8,51.8,0.00,999.9,000000,
085360,99999,20140109,54.7,24,47.1,24,9999.9,0,9999.9,0,999.9,0,4.8,24,8.0,18.1,60.8,50.0,0.00,999.9,000000,
085360,99999,20140110,54.0,24,47.4,24,9999.9,0,9999.9,0,999.9,0,4.8,24,8.0,18.1,62.6,48.2,0.00,999.9,000000,
085360,99999,20140111,48.4,24,47.4,24,9999.9,0,9999.9,0,3.0,20,3.2,24,7.0,999.9,51.8,44.6,0.00,999.9,100000,
085360,99999,20140112,52.1,24,50.8,24,9999.9,0,9999.9,0,3.2,24,4.4,24,13.0,21.0,60.8,46.4,99.99,999.9,110000,
085360,99999,20140113,52.3,24,45.6,24,9999.9,0,9999.9,0,6.2,24,6.5,24,13.0,17.1,57.2,48.2,99.99,999.9,010000,
085360,99999,20140114,55.8,24,52.5,24,9999.9,0,9999.9,0,6.1,24,7.3,24,14.0,999.9,59.0,51.8,99.99,999.9,010000,
085360,99999,20140115,55.0,24,53.1,24,9999.9,0,9999.9,0,5.8,24,6.4,24,13.0,999.9,57.2,51.8,99.99,999.9,010000,
085360,99999,20140116,51.6,24,44.8,24,9999.9,0,9999.9,0,6.2,24,6.0,24,11.1,21.0,55.4,46.4,99.99,999.9,010000,
085360,99999,20140117,48.7,24,46.1,24,9999.9,0,9999.9,0,5.4,24,6.5,24,18.1,22.0,53.6,42.8,99.99,999.9,010110,
085360,99999,20140118,50.9,24,45.0,24,9999.9,0,9999.9,0,6.1,24,7.8,24,13.0,24.1,55.4,48.2,99.99,999.9,010000,
085360,99999,20140119,50.1,24,42.0,24,9999.9,0,9999.9,0,6.1,24,10.2,24,17.1,28.9,55.4,46.4,99.99,999.9,010000,
085360,99999,20140120,50.1,24,44.2,24,9999.9,0,9999.9,0,6.2,22,4.2,24,8.9,999.9,57.2,44.6,0.00,999.9,000000,
085360,99999,20140121,52.8,24,51.1,24,9999.9,0,9999.9,0,4.6,24,6.1,24,19.0,999.9,57.2,46.4,99.99,999.9,110000,
085360,99999,20140122,53.4,24,47.8,24,9999.9,0,9999.9,0,6.0,24,10.1,24,22.0,28.0,57.2,50.0,99.99,999.9,010000,
085360,99999,20140123,52.0,24,43.3,24,9999.9,0,9999.9,0,6.2,15,12.3,24,18.1,25.1,59.0,48.2,0.00,999.9,000000,
085360,99999,20140124,52.4,24,47.1,24,9999.9,0,9999.9,0,6.2,22,8.1,24,15.9,27.0,57.2,46.4,0.00,999.9,000000,
085360,99999,20140125,55.3,24,51.3,24,9999.9,0,9999.9,0,6.2,24,10.2,24,15.0,26.0,59.0,53.6,99.99,999.9,010000,
085360,99999,20140126,54.5,24,52.3,24,9999.9,0,9999.9,0,6.2,24,7.1,24,13.0,999.9,57.2,51.8,99.99,999.9,010000,
