"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","333","9","24"
"Jan-02","280","6","28"
"Jan-03","304","2","33"
"Jan-04","316","3","29"
"Jan-05","300","4","25"
"Jan-06","283","6","27"
"Jan-07","273","6","26"
"Jan-08","326","4","32"
"Jan-09","318","8","20"
"Jan-10","295","2","23"
"Jan-11","311","2","30"
"Jan-12","348","7","23"
"Jan-13","275","2","24"
"Jan-14","330","9","28"
"Jan-15","321","4","22"
"Jan-16","269","4","28"
"Jan-17","274","2","26"
"Jan-18","303","9","35"
"Jan-19","299","6","38"
"Jan-20","323","3","26"
"Jan-21","349","7","27"
"Jan-22","312","1","36"
"Jan-23","324","3","29"
"Jan-24","300","1","30"
"Jan-25","324","5","26"
"Jan-26","307","4","18"
"Jan-27","317","5","15"
"Jan-28","292","5","25"
"Jan-29","269","7","19"
"Jan-30","296","1","25"
"Jan-31","344","6","26"
"Fev-01","314","9","28"
"Fev-02","304","1","23"
"Fev-03","295","7","22"
"Fev-04","291","4","20"
"Fev-05","277","3","26"
"Fev-06","301","2","17"
"Fev-07","307","2","24"
"Fev-08","306","3","29"
"Fev-09","321","7","23"
"Fev-10","295","5","36"
"Fev-11","322","7","31"
"Fev-12","304","5","26"
"Fev-13","300","4","31"
"Fev-14","267","2","33"
"Fev-15","271","3","34"
"Fev-16","279","9","26"
"Fev-17","289","6","36"
"Fev-18","308","3","26"
"Fev-19","317","9","21"
"Fev-20","338","6","26"
"Fev-21","310","7","35"
"Fev-22","353","7","21"
"Fev-23","298","4","16"
"Fev-24","314","5","25"
"Fev-25","274","4","26"
"Fev-26","302","4","16"
"Fev-27","304","2","24"
"Fev-28","261","6","33"
"Fev-29","293","2","28"
"Mar-01","315","4","26"
"Mar-02","311","3","31"
"Mar-03","341","3","31"
"Mar-04","302","3","31"
"Mar-05","319","7","34"
"Mar-06","288","5","27"
"Mar-07","283","2","25"
"Mar-08","334","4","30"
"Mar-09","331","3","35"
"Mar-10","303","6","27"
"Mar-11","303","6","27"
"Mar-12","304","4","31"
"Mar-13","297","5","29"
"Mar-14","294","4","43"
"Mar-15","309","7","21"
"Mar-16","250","7","31"
"Mar-17","271","4","24"
"Mar-18","301","4","30"
"Mar-19","317","13","30"
"Mar-20","293","3","39"
"Mar-21","302","4","15"
"Mar-22","300","5","32"
"Mar-23","298","6","27"
"Mar-24","295","2","28"
"Mar-25","296","8","29"
"Mar-26","280","7","31"
"Mar-27","282","6","23"
