"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","2","0","0","2","4","6","15","26","70","350","0"
"Jan-02","1","0","0","1","2","8","25","40","65","436","0"
"Jan-03","1","0","0","4","1","3","17","33","59","361","0"
"Jan-04","0","0","0","0","0","9","26","41","62","363","0"
"Jan-05","0","0","0","2","3","5","23","41","69","350","0"
"Jan-06","1","0","1","1","1","5","14","30","53","355","0"
"Jan-07","0","0","0","3","3","4","11","26","54","320","0"
"Jan-08","2","0","0","1","2","3","15","24","55","342","0"
"Jan-09","0","0","1","2","1","3","16","33","59","326","0"
"Jan-10","0","0","0","2","0","3","16","38","47","364","0"
"Jan-11","1","0","1","1","0","7","13","27","45","328","0"
"Jan-12","1","1","0","0","3","4","15","34","56","331","0"
"Jan-13","1","1","1","1","2","5","17","34","67","313","0"
"Jan-14","1","0","0","0","1","6","15","19","46","296","0"
"Jan-15","1","0","0","1","1","1","11","19","59","275","0"
"Jan-16","2","0","0","3","0","6","13","42","48","280","0"
"Jan-17","0","1","0","0","2","5","9","32","47","317","0"
"Jan-18","1","0","0","2","0","4","12","28","61","284","0"
"Jan-19","0","0","0","1","2","2","13","42","50","314","0"
"Jan-20","1","0","2","1","2","5","13","30","53","315","0"
"Jan-21","1","0","0","1","3","6","11","25","51","332","0"
"Jan-22","1","1","0","4","1","10","17","27","45","308","0"
"Jan-23","2","0","0","0","1","5","13","31","63","349","0"
"Jan-24","0","1","0","0","1","5","15","45","56","362","0"
"Jan-25","4","0","0","2","0","4","12","17","52","290","1"
"Jan-26","1","0","0","2","1","2","17","33","50","335","0"
"Jan-27","0","0","0","1","0","5","14","19","60","345","0"
"Jan-28","1","0","0","2","1","2","11","30","59","291","0"
"Jan-29","0","0","0","2","1","2","16","29","53","286","0"
"Jan-30","0","0","0","0","1","6","21","21","46","312","0"
"Jan-31","0","0","0","1","3","5","19","31","58","291","0"
"Fev-01","0","1","0","0","1","5","15","31","47","310","1"
