"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","1","1","0","0","3","2","20","38","68","130","201","0"
"Jan-02","1","0","1","3","1","7","22","26","60","135","172","0"
"Jan-03","0","0","0","1","2","1","16","55","52","124","210","0"
"Jan-04","0","0","0","0","2","7","21","37","67","142","208","0"
"Jan-05","0","0","0","0","2","1","18","33","78","156","233","0"
"Jan-06","1","0","0","3","1","3","21","42","78","159","252","0"
"Jan-07","1","0","0","2","3","6","18","37","70","148","262","1"
"Jan-08","0","0","1","0","1","6","30","39","80","160","249","0"
"Jan-09","0","0","0","0","1","2","15","34","80","150","267","2"
"Jan-10","0","1","0","0","2","6","17","41","94","162","284","0"
"Jan-11","1","1","0","0","1","2","10","57","100","194","300","0"
"Jan-12","1","0","0","3","2","6","19","45","74","204","308","0"
"Jan-13","0","1","0","0","2","3","16","47","86","170","290","0"
"Jan-14","2","1","0","1","7","8","26","47","87","178","312","0"
"Jan-15","2","0","0","0","1","8","25","51","76","202","324","0"
"Jan-16","2","0","0","4","5","6","10","44","84","195","312","0"
"Jan-17","1","0","0","1","2","9","9","47","77","195","312","0"
"Jan-18","0","0","0","1","1","2","27","37","91","201","310","0"
"Jan-19","1","0","1","0","2","6","22","58","81","191","342","0"
"Jan-20","0","0","0","0","1","7","21","53","94","234","338","0"
"Jan-21","1","1","0","0","4","7","20","36","84","199","345","1"
"Jan-22","0","1","0","2","1","11","17","46","103","226","337","0"
"Jan-23","0","0","0","3","1","11","15","29","94","229","355","0"
"Jan-24","0","0","0","1","0","3","18","46","99","213","364","0"
"Jan-25","1","1","0","3","3","4","17","46","90","213","336","0"
"Jan-26","0","0","0","0","2","5","16","36","107","227","327","0"
"Jan-27","1","0","0","0","2","8","17","30","96","195","370","0"
"Jan-28","0","0","1","3","2","6","23","47","91","193","317","1"
"Jan-29","0","0","0","1","2","5","12","32","97","187","298","0"
"Jan-30","0","0","0","1","3","6","17","39","97","211","306","0"
"Jan-31","0","0","1","0","2","6","18","31","102","198","289","0"
"Fev-01","0","0","0","0","3","10","19","35","86","172","297","0"
"Fev-02","1","0","1","0","0","5","17","44","77","193","263","0"
"Fev-03","1","0","0","0","4","7","17","34","90","169","283","0"
"Fev-04","1","0","1","0","3","6","10","34","89","166","271","0"
"Fev-05","3","0","0","0","3","6","15","46","86","161","235","0"
"Fev-06","0","0","0","1","1","3","10","29","72","163","227","1"
"Fev-07","0","0","0","0","0","5","17","37","80","150","229","0"
"Fev-08","0","0","0","2","2","6","20","34","64","164","231","0"
"Fev-09","1","0","0","0","2","3","15","23","85","145","243","2"
"Fev-10","0","0","1","0","1","5","12","38","77","155","217","0"
"Fev-11","1","0","0","1","0","6","11","40","65","138","239","0"
"Fev-12","1","0","0","0","2","4","13","39","64","150","218","0"
"Fev-13","1","0","0","1","2","0","10","29","80","157","176","0"
"Fev-14","0","1","0","2","2","4","10","24","56","115","188","1"
"Fev-15","0","0","0","0","3","0","19","34","65","124","182","0"
"Fev-16","1","0","1","1","0","2","15","44","71","120","216","0"
"Fev-17","0","0","0","1","0","2","16","32","67","138","188","1"
"Fev-18","2","0","0","0","2","6","12","31","44","123","156","0"
"Fev-19","0","0","1","1","1","5","10","23","59","91","174","0"
"Fev-20","0","0","0","0","0","4","11","32","45","129","169","0"
"Fev-21","0","0","0","0","3","3","17","31","48","101","185","0"
"Fev-22","1","0","0","2","0","3","14","25","53","100","158","0"
"Fev-23","0","0","0","1","1","1","11","31","59","119","154","0"
"Fev-24","1","0","0","1","1","3","6","20","57","113","153","0"
"Fev-25","0","0","0","1","1","4","16","26","61","102","174","1"
"Fev-26","0","0","0","0","2","5","9","24","54","131","150","0"
"Fev-27","0","0","0","0","1","1","10","47","47","81","150","0"
"Fev-28","0","0","0","1","3","4","10","29","60","89","149","0"
"Mar-01","0","0","0","3","0","3","9","23","56","96","149","0"
"Mar-02","0","0","0","1","1","8","18","29","54","102","124","0"
"Mar-03","1","0","0","1","2","4","11","30","55","96","143","0"
"Mar-04","2","0","1","0","2","5","8","27","53","118","138","0"
"Mar-05","3","0","0","0","2","4","19","22","52","95","152","0"
"Mar-06","1","0","0","1","2","5","15","28","54","101","125","0"
"Mar-07","0","0","0","1","3","3","9","26","55","87","126","0"
"Mar-08","0","0","0","0","4","5","11","27","57","85","139","0"
"Mar-09","0","0","0","1","1","1","7","29","50","93","136","0"
"Mar-10","0","1","1","0","0","4","4","31","60","73","139","0"
"Mar-11","0","0","1","1","1","4","7","26","44","88","93","0"
"Mar-12","0","0","0","0","2","4","12","19","47","103","131","0"
"Mar-13","0","0","1","0","1","4","13","21","49","92","128","0"
"Mar-14","1","0","2","0","0","4","9","16","50","84","119","0"
"Mar-15","0","0","0","0","1","4","19","23","49","73","120","0"
"Mar-16","1","0","0","2","2","1","12","45","47","89","129","0"
"Mar-17","0","0","0","0","2","1","10","28","53","98","131","0"
"Mar-18","0","0","0","3","1","6","13","28","40","100","128","0"
"Mar-19","0","0","1","1","0","2","12","30","49","78","134","0"
"Mar-20","1","0","0","0","1","2","6","16","41","77","135","1"
"Mar-21","0","0","0","1","0","3","12","21","46","79","117","0"
"Mar-22","2","0","1","1","1","3","15","23","37","90","129","0"
"Mar-23","0","0","0","2","0","5","15","18","46","84","129","0"
"Mar-24","1","0","1","0","2","2","13","19","52","90","123","0"
"Mar-25","0","0","0","1","1","3","12","23","30","72","117","0"
"Mar-26","0","0","0","1","1","4","16","26","59","86","133","0"
"Mar-27","0","0","0","1","2","3","10","26","32","84","115","0"
"Mar-28","2","0","0","0","0","3","14","23","33","96","123","0"
"Mar-29","1","0","0","1","1","4","9","30","48","100","121","0"
"Mar-30","0","0","0","1","3","2","13","23","50","85","133","0"
"Mar-31","1","0","0","0","0","2","9","27","56","104","120","1"
"Abr-01","1","0","0","1","1","4","2","27","34","115","133","1"
"Abr-02","0","0","0","0","1","7","12","22","35","84","138","0"
"Abr-03","0","2","1","0","0","5","18","24","33","89","121","1"
"Abr-04","0","0","0","0","2","3","8","26","44","77","117","0"
"Abr-05","1","0","0","0","4","4","9","31","50","77","109","0"
"Abr-06","0","0","0","0","1","5","11","33","57","88","109","0"
"Abr-07","1","0","0","0","0","5","9","24","45","80","110","0"
"Abr-08","2","0","0","0","2","1","12","30","44","83","124","0"
"Abr-09","0","0","0","0","0","5","10","23","49","86","116","0"
"Abr-10","0","0","1","1","1","3","13","28","43","77","105","0"
"Abr-11","1","0","0","0","0","10","10","23","44","79","111","0"
"Abr-12","0","0","0","0","2","3","12","17","55","82","107","0"
"Abr-13","0","0","0","0","3","7","7","28","38","96","101","0"
