,#,Population  (2023),Yearly  Change,Net  Change,Density  (P/Km²),Land Area  (Km²),Migrants  (net),Fert.  Rate,Med.  Age,Urban  Pop %,World  Share,Land Area (Km²),Density (P/Km²)
India,1,1428627663,0.81 %,11454490,481,2973190,-486136,2.0,28.0,36 %,17.76 %,,
China,2,1425671352,-0.02 %,-215985,152,9388211,-310220,1.2,39.0,65 %,17.72 %,,
US,3,339996563,0.50 %,1706706,37,9147420,999700,1.7,38.0,83 %,4.23 %,,
Indonesia,4,277534122,0.74 %,2032783,153,1811570,-49997,2.1,30.0,59 %,3.45 %,,
Pakistan,5,240485658,1.98 %,4660796,312,770880,-165988,3.3,21.0,35 %,2.99 %,,
Nigeria,6,223804632,2.41 %,5263420,246,910770,-59996,5.1,17.0,54 %,2.78 %,,
Brazil,7,216422446,0.52 %,1108948,26,8358140,6000,1.6,34.0,88 %,2.69 %,,
Bangladesh,8,172954319,1.03 %,1767947,1329,130170,-309977,1.9,27.0,41 %,2.15 %,,
Russia,9,144444359,-0.19 %,-268955,9,16376870,-136414,1.5,39.0,75 %,1.80 %,,
Mexico,10,128455567,0.75 %,951442,66,1943950,-50239,1.8,30.0,88 %,1.60 %,,
Ethiopia,11,126527060,2.55 %,3147136,127,1000000,-11999,4.0,19.0,22 %,1.57 %,,
Japan,12,123294513,-0.53 %,-657179,338,364555,99994,1.3,49.0,94 %,1.53 %,,
Philippines,13,117337368,1.54 %,1778359,394,298170,-69996,2.7,25.0,47 %,1.46 %,,
Egypt,14,112716598,1.56 %,1726495,113,995450,-29998,2.8,24.0,41 %,1.40 %,,
Congo (Kinshasa),15,102262808,3.29 %,3252596,45,2267050,-14999,6.1,16.0,46 %,1.27 %,,
Vietnam,16,98858950,0.68 %,672094,319,310070,-82700,1.9,33.0,40 %,1.23 %,,
Iran,17,89172767,0.70 %,622197,55,1628550,-39998,1.7,33.0,74 %,1.11 %,,
Turkey,18,85816199,0.56 %,474958,112,769630,-318067,1.9,32.0,77 %,1.07 %,,
Germany,19,83294633,-0.09 %,-75210,239,348560,155751,1.5,45.0,77 %,1.04 %,,
Thailand,20,71801279,0.15 %,104249,141,510890,18999,1.3,40.0,52 %,0.89 %,,
United Kingdom,21,67736802,0.34 %,227866,280,241930,165790,1.6,40.0,85 %,0.84 %,,
Tanzania,22,67438106,2.96 %,1940358,76,885800,-39997,4.6,17.0,38 %,0.84 %,,
France,23,64756584,0.20 %,129956,118,547557,67761,1.8,42.0,84 %,0.80 %,,
South Africa,24,60414495,0.87 %,520610,50,1213090,58496,2.3,28.0,69 %,0.75 %,,
Italy,25,58870762,-0.28 %,-166712,200,294140,58496,1.3,48.0,72 %,0.73 %,,
Kenya,26,55100586,1.99 %,1073099,97,569140,-10000,3.2,20.0,31 %,0.68 %,,
Myanmar,27,54577997,0.74 %,398691,84,653290,-34998,2.1,30.0,33 %,0.68 %,,
Colombia,28,52085168,0.41 %,211144,47,1109500,-175051,1.7,32.0,81 %,0.65 %,,
"Korea, South",29,51784059,-0.06 %,-31751,533,97230,29998,0.9,44.0,82 %,0.64 %,,
Uganda,30,48582334,2.82 %,1332749,243,199810,-126181,4.4,16.0,29 %,0.60 %,,
Sudan,31,48109006,2.63 %,1234802,27,1765048,-9999,4.3,19.0,35 %,0.60 %,,
Spain,32,47519628,-0.08 %,-39002,95,498800,39998,1.3,45.0,80 %,0.59 %,,
Argentina,33,45773884,0.58 %,263566,17,2736690,3718,1.9,32.0,94 %,0.57 %,,
Algeria,34,45606480,1.57 %,703255,19,2381740,-9999,2.8,28.0,75 %,0.57 %,,
Iraq,35,45504560,2.27 %,1008438,105,434320,-6000,3.4,20.0,71 %,0.57 %,,
Afghanistan,36,42239854,2.70 %,1111083,65,652860,-65846,4.4,17.0,26 %,0.53 %,,
Poland,37,41026067,2.93 %,1168922,134,306230,-910475,1.5,40.0,55 %,0.51 %,,
Canada,38,38781291,0.85 %,326964,4,9093510,249746,1.5,41.0,81 %,0.48 %,,
